order_id|customer_region|product_id|qty|ship_time
2940d736-994e-4894-9d69-a230105e60dc|3|B0P2S2JMHIUCF|2|5
2940d736-994e-4894-9d69-a230105e60dc|3|B0K9WO9FKO5LY|1|5
2940d736-994e-4894-9d69-a230105e60dc|3|B08HFK8MTEO2A|1|5
0e64099e-0e9d-428d-9dd8-e160488d24e9|1|B0NKJTMRDYAWG|2|5
0e64099e-0e9d-428d-9dd8-e160488d24e9|1|B08VJPDXU0UA9|3|5
0e64099e-0e9d-428d-9dd8-e160488d24e9|1|B0FZAQSFSD4Q3|1|5
0e64099e-0e9d-428d-9dd8-e160488d24e9|1|B0B4IS13MJX9G|2|5
0e64099e-0e9d-428d-9dd8-e160488d24e9|1|B04NFIT4NEU6I|1|5
0e64099e-0e9d-428d-9dd8-e160488d24e9|1|B0LJ5C2A76D6O|1|5
927eb5bf-363b-4fd7-b629-5683dca83984|3|B0G2WZVB8OY52|1|2
927eb5bf-363b-4fd7-b629-5683dca83984|3|B0T47Z7P3HJHD|1|2
927eb5bf-363b-4fd7-b629-5683dca83984|3|B03HSECML4NZZ|2|2
02a0f39e-d50c-4d6e-82c3-2c1252974f0b|1|B0DWA2FAHM1P4|1|2
02a0f39e-d50c-4d6e-82c3-2c1252974f0b|1|B0NXWRR0D5FD3|1|2
02a0f39e-d50c-4d6e-82c3-2c1252974f0b|1|B03P4AC7KCRK9|1|2
9b93e5bd-9cb4-455d-8d49-9a1b43625481|1|B09T7MM38Y23B|1|5
9b93e5bd-9cb4-455d-8d49-9a1b43625481|1|B06MQQLFSAE24|1|5
9b93e5bd-9cb4-455d-8d49-9a1b43625481|1|B05NIJ51U019W|1|5
6318e8b1-ea64-44c1-a40e-7849bba424ed|4|B0HDTM1ED8L2F|3|1
6318e8b1-ea64-44c1-a40e-7849bba424ed|4|B0V2TDL0U90G6|2|1
3c96d28d-46b1-4357-bbbd-c0fb904376b7|2|B00VP4OYRR2EF|1|4
3c96d28d-46b1-4357-bbbd-c0fb904376b7|2|B0TXBW4C28EP3|4|4
c023bced-d8f0-4230-aea2-22c5037e0968|2|B03TTZV8CR7YG|1|2
b9e1d460-c6dd-43d9-975a-7b2db9459d9e|1|B01KIKQ5M0BDO|1|2
b9e1d460-c6dd-43d9-975a-7b2db9459d9e|1|B03P4AC7KCRK9|1|2
e919cd37-8f2d-45bf-bac8-c5e352b34fea|3|B0RB7NJ7YWXTN|3|2
e919cd37-8f2d-45bf-bac8-c5e352b34fea|3|B0JZHH0RG6GRK|3|2
58cab004-65b0-4e63-9282-df8f09a2bc2a|1|B0N76U25NMAP5|1|2
58cab004-65b0-4e63-9282-df8f09a2bc2a|1|B0311RTR8MV0E|1|2
58cab004-65b0-4e63-9282-df8f09a2bc2a|1|B07T26USNZ3QV|2|2
58cab004-65b0-4e63-9282-df8f09a2bc2a|1|B0RJNJHZZIJ98|1|2
ba9b5518-611d-49fc-b27b-b9d69423e874|4|B03VFUYFLZABB|1|5
ba9b5518-611d-49fc-b27b-b9d69423e874|4|B04XXZCQOBLOA|1|5
a8092ff7-af30-4c38-b5b3-92fd3a7d01d4|1|B0TOOARH7BP5K|1|3
a8092ff7-af30-4c38-b5b3-92fd3a7d01d4|1|B0G3X4NHVPN8X|4|3
a8092ff7-af30-4c38-b5b3-92fd3a7d01d4|1|B0TO08XTTO14P|2|3
d03a4be6-864e-4100-9532-9e80fd09085e|1|B073YYBZUJE8D|1|7
d03a4be6-864e-4100-9532-9e80fd09085e|1|B0PD8UGTXHTW2|2|7
34f0e1b7-586c-4ac8-ba5b-e53d9a4e0c4a|2|B02RHVH2X4X9M|1|5
34f0e1b7-586c-4ac8-ba5b-e53d9a4e0c4a|2|B07OSETRD1LI2|2|5
58ae7ba7-a9c5-4e4f-84c4-fe15fbf5b3e4|4|B02YT0PTE925K|1|2
58ae7ba7-a9c5-4e4f-84c4-fe15fbf5b3e4|4|B0Q1Y9RSZ4418|2|2
596866ba-7c95-4ff4-b525-85283724a2d0|2|B07I6E1P6N8E2|2|5
e2682fe8-3fc3-4399-9b8b-62faa9c259da|4|B05X8DVQOWJLA|1|6
e2682fe8-3fc3-4399-9b8b-62faa9c259da|4|B0DORV3X6R3BM|1|6
e2682fe8-3fc3-4399-9b8b-62faa9c259da|4|B00BEGZ87LEPG|1|6
9b14e9da-9c91-41a3-978d-7e01ac0d352d|3|B082IKZQAMUBP|2|7
9b14e9da-9c91-41a3-978d-7e01ac0d352d|3|B082IKZQAMUBP|1|7
9b14e9da-9c91-41a3-978d-7e01ac0d352d|3|B0DNX36XK8TNN|1|7
893f01ef-e0fb-47e8-8aa1-9f35bb19fd5c|3|B0X3ADVPA8MSE|2|3
893f01ef-e0fb-47e8-8aa1-9f35bb19fd5c|3|B0P6EWO1SFPU5|2|3
225c00ef-aaf5-40a9-ad54-66237c21e116|3|B0918TT43XRP5|2|7
225c00ef-aaf5-40a9-ad54-66237c21e116|3|B0KEA7F0OUZKK|3|7
225c00ef-aaf5-40a9-ad54-66237c21e116|3|B00BEGZ87LEPG|1|7
225c00ef-aaf5-40a9-ad54-66237c21e116|3|B07WFPZXAOP44|1|7
225c00ef-aaf5-40a9-ad54-66237c21e116|3|B0E40JUTZ6447|2|7
225c00ef-aaf5-40a9-ad54-66237c21e116|3|B00C8A417TT1Q|1|7
1cc97aa3-dcef-415f-886f-d36d34f3f218|4|B0A9L29TEWGYR|2|4
94864731-26dd-49be-85ab-42654c2fdf6b|2|B0U9OW297HH3J|2|6
94864731-26dd-49be-85ab-42654c2fdf6b|2|B02JDIS7OLX27|4|6
94864731-26dd-49be-85ab-42654c2fdf6b|2|B0AZ3MX38CORU|5|6
4b060af5-88f9-4cff-ad57-dbc3e006cea7|2|B00ZHJA242IQV|1|2
4b060af5-88f9-4cff-ad57-dbc3e006cea7|2|B02VYNRA3MLK0|1|2
4b060af5-88f9-4cff-ad57-dbc3e006cea7|2|B0E9187FFNZ14|1|2
19956f12-b3e6-4c78-bb81-a08b02992081|3|B0A9L29TEWGYR|1|3
19956f12-b3e6-4c78-bb81-a08b02992081|3|B0L89XM73SXEM|2|3
19956f12-b3e6-4c78-bb81-a08b02992081|3|B01RVIHR9JRY4|2|3
db1b583c-3c4d-453e-a91f-f2b540781954|3|B0R6YA4BFNVSJ|1|1
db1b583c-3c4d-453e-a91f-f2b540781954|3|B0O70X1EYXQQ3|2|1
33cb707c-c65c-4c3c-ab55-3c96c922cfd5|3|B0GG67GELAWLT|1|3
