order_id|order_date|customer_region|product_id|qty|ship_time
c66436b1-4725-46a1-9144-ec0c2ad83fa1|Mon Aug 01 00:00:31 PDT 2011|3|B05AI4X7C8QEA|1|7
ba15d415-6300-4e6c-907b-6074472b7578|Mon Aug 01 00:00:35 PDT 2011|1|B02Y6M3620JSU|1|2
30f2aed6-47cf-41ce-b411-21db8ae8eb23|Mon Aug 01 00:01:08 PDT 2011|1|B0LHCA7O4IKK3|3|6
30f2aed6-47cf-41ce-b411-21db8ae8eb23|Mon Aug 01 00:01:08 PDT 2011|1|B0G56306CIQPP|1|6
1f438cb0-bf58-4223-8aa1-55d2047e4c65|Mon Aug 01 00:02:25 PDT 2011|1|B04GS0VIFOSZL|4|3
1f438cb0-bf58-4223-8aa1-55d2047e4c65|Mon Aug 01 00:02:25 PDT 2011|1|B0GFIKTYQUTH5|2|3
6a20025c-b9cf-4d4b-9aef-00f2274f90c2|Mon Aug 01 00:03:22 PDT 2011|3|B0HGNA6NAKHHF|1|6
6a20025c-b9cf-4d4b-9aef-00f2274f90c2|Mon Aug 01 00:03:22 PDT 2011|3|B01EWA5Z7AG8X|1|6
6a20025c-b9cf-4d4b-9aef-00f2274f90c2|Mon Aug 01 00:03:22 PDT 2011|3|B0XWEYJAE1218|1|6
1b130447-6c5b-47c9-9d0b-a4ddd81cbaf8|Mon Aug 01 00:04:27 PDT 2011|4|B01S37UODMJUW|3|3
6262f0d0-1ff5-4b6a-8eca-725227eb1f2b|Mon Aug 01 00:05:11 PDT 2011|3|B0J6I5TIPKDUL|1|3
6262f0d0-1ff5-4b6a-8eca-725227eb1f2b|Mon Aug 01 00:05:11 PDT 2011|3|B0107FPELOZ25|1|3
6262f0d0-1ff5-4b6a-8eca-725227eb1f2b|Mon Aug 01 00:05:11 PDT 2011|3|B0HA96GIK2O1V|2|3
6262f0d0-1ff5-4b6a-8eca-725227eb1f2b|Mon Aug 01 00:05:11 PDT 2011|3|B03HSECML4NZZ|4|3
b8e3b8a9-edeb-4bcd-b5ed-2adbd0a3dbd5|Mon Aug 01 00:05:32 PDT 2011|2|B0KIPBQBI0IL4|4|9
b408c8cc-9b7b-4623-b466-6d04c404709b|Mon Aug 01 00:06:55 PDT 2011|1|B05TYX9C895KK|2|5
b408c8cc-9b7b-4623-b466-6d04c404709b|Mon Aug 01 00:06:55 PDT 2011|1|B0H5ER8KTV7SP|1|5
b408c8cc-9b7b-4623-b466-6d04c404709b|Mon Aug 01 00:06:55 PDT 2011|1|B0567HEH8AL47|2|5
b408c8cc-9b7b-4623-b466-6d04c404709b|Mon Aug 01 00:06:55 PDT 2011|1|B0FADGXTOISPE|1|5
b408c8cc-9b7b-4623-b466-6d04c404709b|Mon Aug 01 00:06:55 PDT 2011|1|B0LTPEBP21OXO|2|5
a4aa0a88-a660-4bda-9d0e-18a58e21df6d|Mon Aug 01 00:07:30 PDT 2011|2|B0HDOQOHJSV8U|1|2
a4aa0a88-a660-4bda-9d0e-18a58e21df6d|Mon Aug 01 00:07:30 PDT 2011|2|B0S3V7AXGZIJI|1|2
e0738f3a-29db-41f5-9b3d-1e879f50cd0d|Mon Aug 01 00:08:21 PDT 2011|2|B0KU89S55WSBG|3|6
e0738f3a-29db-41f5-9b3d-1e879f50cd0d|Mon Aug 01 00:08:21 PDT 2011|2|B0FUTT5N4BTAP|1|6
e0738f3a-29db-41f5-9b3d-1e879f50cd0d|Mon Aug 01 00:08:21 PDT 2011|2|B0KIL1RJHAACC|1|6
7eeb7c27-1a3c-4518-8017-0f2698ece32c|Mon Aug 01 00:10:37 PDT 2011|3|B09VAJRTZ04AP|1|1
